Style No,Style Long Description,Back,Back,Back 2,Back 2,Back 2,Back 2,Edge,Edge,Edge,Edge,Edge 2,Edge 2,Edge 2,Edge 2,Front,Main,Main,Main,Main 2,Main 2,Main 2,Main 2,Model,Model,Model,Model,Model,Model,Model,Model 2,Profile,Profile,Top,Top,Assortment_Type,caratage_of_predom_mat_1,caratage_of_predom_mat_2,caratage_of_predom_mat_3,Closure Type,Commercial Reference,Country of Origin,Diamond Carat Weight,Fish_&_Wild,funct_hier_lvl4_item_shape,Gender,item_note,Launch Date - Wholesales (US),man_made_stones,measure_1,measure_3,measure_4,measure_5,merch_hier_lv2_sub_collection,merch_hier_lvl_collection,NFR Size Code,NRF_color_code,Predominant_Color_Descr,Primary Material,Product Description,Product Type,Retail Price,Retail Price - Dollar Sign,sales_life_cycle,season,Season Code,season_year,Size,stone_id_1,stone_id_2,stone_id_3,stone_id_4,supply_life_cycle,UPC Code,Variant No,Vendor Name,salsify:profile_asset_id
BB5901XM-L,"WOMEN's Bamboo Silver Four Coil Bracelet, Size M-L",,,,,,,http://images.salsify.com/image/upload/s--QO2n83ch--/iwp3gitxdukzatu4ztkx.jpg,http://images.salsify.com/image/upload/s--d6Lchdr4--/x8gzfbycg7pffjitigrz.jpg,,,,,,,,http://images.salsify.com/image/upload/s--6fkbH0il--/aphnaqhyzulwt9xzc50r.jpg,http://images.salsify.com/image/upload/s--IyvLH-Tn--/xwzatwytalp7ayhjmr3a.jpg,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--4s1aHice--/pkw1r6a6rtpsvmgwwand.jpg,http://images.salsify.com/image/upload/s--x6IY3jue--/dgcein6r4pcypgeuecmm.jpg,,,CORE,,,,,BB5901XM-L,ID,0,No,Coil,WOMEN,,2/15/2016,No,0,19,0,0,Bamboo,Bamboo,,,,Silver,Bamboo Double Coil Bracelet in Brushed Silver,Bracelet,795,$,Active,SPRING,S16,2016,M-L,,,,,Contributor,8.25429E+12,1_381_1185901,John Hardy,
BB5987XM,"WOMEN's Bamboo Silver Graduated Link Bracelet with Lobster Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--mRTjLh5y--/pa4a2tdtnav6vgdtenoi.jpg,http://images.salsify.com/image/upload/s--tIsxCshz--/whp35ghhficffjae8e49.jpg,,,,,,http://images.salsify.com/image/upload/s--i5MDPNVa--/vmlzwnjfps62c8c7fyw8.jpg,http://images.salsify.com/image/upload/s--gVYAf-z3--/de2xgrm3a6qmhngllxo1.jpg,,,,,,,,,,,CORE,,,,Lobster Clasp,BB5987XM,ID,0,No,Link,WOMEN,,7/25/2017,No,0,17,0,0,Bamboo,Bamboo,78014,,,Silver,Bamboo 17MM Graduated Link Bracelet in Silver,Bracelet,650,$,Active,FALL,F17,2017,M,,,,,Star,8.25429E+12,BB5987,John Hardy,
BB6653BLXM,"WOMEN's Legends Naga Silver Bracelet on 7.5mm Black Leather, Size M",,,,,,,http://images.salsify.com/image/upload/s--sxt7Z22R--/m0hc6mcc7tdygfmovte1.jpg,,,,,,,,,http://images.salsify.com/image/upload/s--BocV6xHB--/ufyrlxapj3xtazdh0blf.jpg,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--g_rqmB6j--/dqsl0yjajucuo9zwmyz8.jpg,,,,NON CORE,,,,Puller Clasp,BB6653BLXM,TH,0,F&W,Station,WOMEN,,2/25/2018,No,0,7.5,54,12,Naga,Legends,78014,1,Black,Silver,Legends Naga Bracelet in Silver with Leather,Bracelet,595,$,Active,SPRING,S18,2018,M,,,,,Star,8.25429E+12,BB6653,John Hardy,
BB7213XM,"WOMEN's Dot Hammered Silver Small Round Disc Bracelet with Toggle Clasp, Size M",http://images.salsify.com/image/upload/s--LfSB47ZE--/otbeanc6fkihbdzqn3vx.jpg,http://images.salsify.com/image/upload/s--KPg6Bgjv--/tufwshrf4jmaaeqbrwiq.jpg,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--wQFSpQOw--/itfpc6t4pnheuahv0xvm.jpg,http://images.salsify.com/image/upload/s--8DkJ67jS--/fjxe2o933zlfogj2xbrn.jpg,,,,,,http://images.salsify.com/image/upload/s--G35Pn6Ph--/avp17vrys1frnecy7udb.jpg,http://images.salsify.com/image/upload/s--J8Ml9kL9--/kdtnu8sswapcgz8supxt.jpg,,,,,,,,,,,CORE,,,,Toggle Clasp,BB7213XM,ID,0,No,Link,WOMEN,,2/2/2015,No,0,10.5,0,0,Dot,Dot,78014,,,Silver,Dot 10.5MM Link Bracelet in Hammered Silver,Bracelet,495,$,Active,SPRING,S15,2015,M,,,,,Star,8.25429E+12,1_7_1187213,John Hardy,
BB90010XM,"WOMEN's Asli Classic Chain Link Silver Link Bracelet 9.5mm with Hook Clasp, Size M",,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--FkJHGs2B--/ffnbqlfpkha0gg2lzax1.jpg,,,,,,,,,,,,NON CORE,,,,Hook Clasp,BB90010XM,ID,0,No,Link,WOMEN,,9/25/2018,No,0,9.5,0,0,Classic,Chain,78014,,,Silver,Asli Classic Chain Link 9.5MM Bracelet in Silver,Bracelet,650,$,Active,FALL,F18,2018,M,,,,,Contributor,8.25429E+12,BB90010,John Hardy,
BB90240XM,"WOMEN's Asli Classic Chain Link Silver Extra-Small Bracelet 5mm with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--BoDYlrcT--/g23sfqyazoilkchhguvz.jpg,,,,,,,http://images.salsify.com/image/upload/s--dIOpPlro--/gsnkkfcjxq92higha3gx.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BB90240XM,ID,0,No,Station,WOMEN,,7/25/2018,No,0,5,35,9.5,Classic,Chain,78014,,,Silver,Asli Classic Chain Link 5MM Station Bracelet in Silver,Bracelet,495,$,Active,FALL,F18,2018,M,,,,,Star,8.25429E+12,BB90240,John Hardy,
BB90240XS,"WOMEN's Asli Classic Chain Link Silver Extra-Small Bracelet 5mm with Pusher Clasp, Size S",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--BoDYlrcT--/g23sfqyazoilkchhguvz.jpg,,,,,,,http://images.salsify.com/image/upload/s--dIOpPlro--/gsnkkfcjxq92higha3gx.jpg,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BB90240XS,ID,0,No,Station,WOMEN,,7/25/2018,No,0,5,35,9.5,Classic,Chain,78013,,,Silver,Asli Classic Chain Link 5MM Station Bracelet in Silver,Bracelet,495,$,Active,FALL,F18,2018,S,,,,,Decline,8.25429E+12,BB90240,John Hardy,
BB90366XM,"WOMEN's Asli Classic Chain Link Silver Slim Chain Bracelet 3.5mm with Lobster Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--yuU6lFWd--/afsgv3gwnqeftwfqnoaj.tiff,,,,,,,http://images.salsify.com/image/upload/s--gmbzRhMN--/igoc4lpfh6mmf5oweaop.jpg,http://images.salsify.com/image/upload/s--yuU6lFWd--/afsgv3gwnqeftwfqnoaj.tiff,,,,,,,,,,,NON CORE,,,,Lobster Clasp,BB90366XM,ID,0,No,Station,WOMEN,,1/25/2019,No,0,3.5,36,6.5,Classic,Chain,78014,,,Silver,Asli Classic Chain Link Station Bracelet in Silver,Bracelet,495,$,Newness,SPRING,S19,2019,M,,,,,Launch/One Shot,8.25429E+12,BB90366,John Hardy,
BB90369XM,"WOMEN's Asli Classic Chain Link Silver Triple Row Bracelet with Lobster Clasp, Size S Adjustable to M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--MUJnfayQ--/s0ibte076owdglkxzs5q.tiff,,,,,,,http://images.salsify.com/image/upload/s--f3rvfjGk--/mntuiqrtgoslhhe39bzm.jpg,http://images.salsify.com/image/upload/s--MUJnfayQ--/s0ibte076owdglkxzs5q.tiff,,,,,,,,,,,NON CORE,,,,Lobster Clasp,BB90369XM,ID,0,No,Multi Row,WOMEN,,1/25/2019,No,0,13.5,0,0,Classic,Chain,78014,,,Silver,Asli Classic Chain Link Multi Row Bracelet in Silver,Bracelet,895,$,Newness,SPRING,S19,2019,M,,,,,Launch/One Shot,8.25429E+12,BB90369,John Hardy,
BB90400CXM,"WOMEN's Classic Chain Silver Medium Bracelet, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--0n9WPqeq--/mgfrtrfyos1fb5dzojoh.jpg,http://images.salsify.com/image/upload/s--qZnKSqI8--/bpdlw07bus6jr25zqchp.jpg,http://images.salsify.com/image/upload/s--1IOjYCGd--/qxejvsmpavkthn8ukma5.jpg,,,,,http://images.salsify.com/image/upload/s--4fZ9Fd8a--/bjfd5vremxfiue6t32ee.jpg,http://images.salsify.com/image/upload/s--ALQnyO0w--/mldf34kt4bmj23duinkx.jpg,http://images.salsify.com/image/upload/s--zaa0geIu--/lczpybxjyxv0hpgjm4dp.jpg,,,,,,,,,,CORE,,,,Pusher Clasp,BB90400CXM,ID,0,No,Woven,WOMEN,,8/1/1995,No,0,7.5,0,0,Classic,Chain,78014,,,Silver,Classic Chain 7.5MM Bracelet in Silver,Bracelet,695,$,Active,SPRING,S95,1995,M,,,,,Star,8.25429E+12,1_407_11890400,John Hardy,
